society;municipality;square_name;ykj_n;ykj_e;level1;level2;level3;level4;level5
Keski-Suomen Lintutieteellinen Yhdistys ry;Pihtipudas;Peninki;703;343;1;85.6;149.2;203.2;239.2
Keski-Suomen Lintutieteellinen Yhdistys ry;Pihtipudas;Liitonmäki;703;344;1;85.6;149.2;203.2;239.2
Keski-Suomen Lintutieteellinen Yhdistys ry;Pihtipudas;Löytynmäki;703;345;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Pielavesi;Kolunjärvi;703;346;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Pielavesi;Laukkala;703;347;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Pielavesi;Tommonmäki;703;348;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Pielavesi;Pahkamäki;703;349;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Iisalmi;Pörsänmäki;703;350;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Lapinlahti;Nerkoo;703;351;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Lapinlahti;Kiukonmäki;703;352;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Lapinlahti;Pällikäs;703;353;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Lapinlahti;Syvärinpää;703;354;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Rautavaara;Kangaslahti;703;355;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Rautavaara;Nurmeslahti;703;356;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Rautavaara;Höylä;703;357;1;85.6;149.2;203.2;239.2
Lintuyhdistys Kuikka ry (Pohjois-Savo);Rautavaara;Ylä-Luosta;703;358;1;85.6;149.2;203.2;239.2
Pohjois-Karjalan lintutieteellinen yhdistys ry;Nurmes;Pyöreinen;703;359;1;85.6;149.2;203.2;239.2
Pohjois-Karjalan lintutieteellinen yhdistys ry;Juuka;Vuokko;703;360;1;85.6;149.2;203.2;239.2
Pohjois-Karjalan lintutieteellinen yhdistys ry;Nurmes;Kynsisaari;703;361;1;68.48;119.36;162.56;191.36
Pohjois-Karjalan lintutieteellinen yhdistys ry;Nurmes;Poroselkä;703;362;1;68.48;119.36;162.56;191.36
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Viekijärvi;703;363;1;85.6;149.2;203.2;239.2
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Jamalinjärvi;703;364;1;85.6;149.2;203.2;239.2
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Kuikkalahti;703;365;1;85.6;149.2;203.2;239.2
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Pankasaari;703;366;1;85.6;149.2;203.2;239.2
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Ruunaan retkeilykeskus;703;367;1;85.6;149.2;203.2;239.2
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Säynäsemä;703;368;1;85.6;149.2;203.2;239.2
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Rännänlampi;703;369;1;68.48;119.36;162.56;191.36
Merenkurkun Lintutieteellinen Yhdistys ry;Mustasaari;Utgrynnan;704;318;1;19.5;40;52.2;65.3
Ostrobothnia australis. Valassaaret;Mustasaari;Österbrottet;704;319;1;19.5;40;52.2;65.3
Ostrobothnia australis. Valassaaret;Mustasaari;Björkögrunden;704;320;1;80;90;129.2;154.9
Merenkurkun Lintutieteellinen Yhdistys ry;Mustasaari;Lappörarna;704;321;1;80;90;210.8;249.8
Merenkurkun Lintutieteellinen Yhdistys ry;Mustasaari;Ritgrund;704;322;1;51.8;104.6;129.2;154.9
Merenkurkun Lintutieteellinen Yhdistys ry;Mustasaari;Märaskäret;704;323;1;51.8;104.6;129.2;154.9
Merenkurkun Lintutieteellinen Yhdistys ry;Vöyri;Gårdarna;704;324;1;51.8;104.6;129.2;154.9
Merenkurkun Lintutieteellinen Yhdistys ry;Uusikaarlepyy;Jöusan;704;325;1;73.4;147.9;181;215.1
BirdLife Keski-Pohjanmaa ry;Uusikaarlepyy;Hirvlax;704;326;1;108.5;217.9;264.7;312.4
BirdLife Keski-Pohjanmaa ry;Uusikaarlepyy;Munsala;704;327;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Uusikaarlepyy;Jeppo;704;328;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Uusikaarlepyy;Markby;704;329;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Pedersören kunta;Lillby;704;330;1;84.8;147.6;201.6;237.6
Suomenselän Lintutieteellinen Yhdistys ry;Evijärvi;Kerttua;704;331;1;84.8;147.6;201.6;237.6
Suomenselän Lintutieteellinen Yhdistys ry;Evijärvi;Ina;704;332;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Kruunupyy;Småbönders;704;333;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Veteli;Vetelin keskusta;704;334;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Halsua;Halsuan keskusta;704;335;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Halsua;Marjusaari;704;336;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Halsua;Kanala;704;337;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Lestijärvi;Jykyri;704;338;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Lestijärvi;Itäniemi;704;339;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Reisjärvi;Etelä-Sydänmaa;704;340;1;84.8;147.6;201.6;237.6
Keski-Suomen Lintutieteellinen Yhdistys ry;Pihtipudas;Muurasjärvi;704;341;1;84.8;147.6;201.6;237.6
Keski-Suomen Lintutieteellinen Yhdistys ry;Pihtipudas;Raudanjärvi;704;342;1;84.8;147.6;201.6;237.6
Keski-Suomen Lintutieteellinen Yhdistys ry;Pihtipudas;Elämäjärvi;704;343;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Pyhäjärvi;Hiidenniemi;704;344;1;84.8;147.6;201.6;237.6
BirdLife Keski-Pohjanmaa ry;Pyhäjärvi;Maaselänlahti;704;345;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Kiuruvesi;Koivujärvi;704;346;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Kiuruvesi;Rytky;704;347;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Kiuruvesi;Sulkavanjärvi;704;348;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Iisalmi;Ruotaanmäki;704;349;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Iisalmi;Huotari;704;350;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Iisalmi;Peltosalmi;704;351;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Iisalmi;Hernejärvi;704;352;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Sonkajärvi;Ylä-Varpanen;704;353;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Lapinlahti;Juminen;704;354;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Rautavaara;Älänne;704;355;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Rautavaara;Rautavaaran keskusta;704;356;1;84.8;147.6;201.6;237.6
Lintuyhdistys Kuikka ry (Pohjois-Savo);Rautavaara;Myhkyri;704;357;1;84.8;147.6;201.6;237.6
Pohjois-Karjalan lintutieteellinen yhdistys ry;Nurmes;Yöttäjä;704;358;1;84.8;147.6;201.6;237.6
Pohjois-Karjalan lintutieteellinen yhdistys ry;Nurmes;Metelinmäki;704;359;1;84.8;147.6;201.6;237.6
Pohjois-Karjalan lintutieteellinen yhdistys ry;Nurmes;Kynsiniemi;704;360;1;84.8;147.6;201.6;237.6
Pohjois-Karjalan lintutieteellinen yhdistys ry;Nurmes;Ylämylly;704;361;1;84.8;147.6;201.6;237.6
Pohjois-Karjalan lintutieteellinen yhdistys ry;Nurmes;Jurttivaara;704;362;1;84.8;147.6;201.6;237.6
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Vieki;704;363;1;84.8;147.6;201.6;237.6
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Ruosmanjärvi;704;364;1;84.8;147.6;201.6;237.6
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Hämeenjärvi;704;365;1;84.8;147.6;201.6;237.6
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Pahavaara;704;366;1;84.8;147.6;201.6;237.6
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Polvijärvi;704;367;1;67.84;118.08;161.28;190.08
Pohjois-Karjalan lintutieteellinen yhdistys ry;Lieksa;Kangas-Väärä;704;368;1;67.84;118.08;161.28;190.08
Ostrobothnia australis. Valassaaret;Mustasaari;Hällkallan;705;319;1;19.5;40;52.2;65.3
Ostrobothnia australis. Valassaaret;Mustasaari;Äbbskäret;705;320;1;51.8;104.6;129.2;154.9
Merenkurkun Lintutieteellinen Yhdistys ry;Vöyri;Boskäret;705;323;1;19.5;40;52.2;65.3
Merenkurkun Lintutieteellinen Yhdistys ry;Vöyri;Lilla Kolaningen;705;324;1;19.5;40;52.2;65.3
Merenkurkun Lintutieteellinen Yhdistys ry;Uusikaarlepyy;Stubben;705;325;1;19.5;40;52.2;65.3
BirdLife Keski-Pohjanmaa ry;Uusikaarlepyy;Bullerholmen;705;326;1;93.2;187.4;228.3;270.1
BirdLife Keski-Pohjanmaa ry;Uusikaarlepyy;Uusikaarlepyyn keskusta;705;327;1;108.5;217.9;264.7;312.4
BirdLife Keski-Pohjanmaa ry;Uusikaarlepyy;Kovjoki;705;328;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Pedersören kunta;Purmo;705;329;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Pedersören kunta;Svarvar;705;330;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Pedersören kunta;Lappfors;705;331;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Kruunupyy;Teerijärvi;705;332;1;84;146;200;236
BirdLife Keski-Pohjanmaa ry;Kaustinen;Kaustisten keskusta;705;333;1;84;146;200;236
